yyyyddd,Central_Arctic
2014338,3243635.3
2014339,3224472.44
2014340,3225152.02
2014341,3226417.67
2014342,3226417.67
2014343,3226365.52
2014344,3233757.15
2014345,3233757.15
2014346,3238758.94
2014347,3238758.94
2014348,3231971.08
2014349,3236298.25
2014350,3236298.25
2014351,3238719.8
2014352,3238719.8
2014353,3240459.53
2014354,3240459.53
2014355,3240467.45
2014356,3238152.35
2014357,3240075.29
2014358,3240075.29
2014359,3240075.29
2014360,3243975.87
2014361,3244968.87
2014362,3248432.13
2014363,3248432.13
2014364,3246347.59
2014365,3246286.64
2015001,3249311.26
2015002,3249311.26
2015003,3248123.33
2015004,3237142.03
2015005,3239375.84
2015006,3244631.74
2015007,3244565.53
2015008,3242014.24
2015009,3245522.71
2015010,3245624.59
2015011,3245624.59
2015012,3249311.26
2015013,3249311.26
2015014,3249311.26
2015015,3249311.26
2015016,3249311.26
2015017,3249311.26
2015018,3249311.26
2015019,3240477.08
2015020,3240477.08
2015021,3240477.08
2015022,3240574.52
2015023,3241494.34
2015024,3245866.17
2015025,3249311.26
2015026,3249311.26
2015027,3249311.26
2015028,3238701.9
2015029,3217849.02
2015030,3229255.08
2015031,3229261.97
2015032,3229261.97
2015033,3242046.08
2015034,3240116.87
2015035,3240116.87
2015036,3240116.87
2015037,3240297.06
2015038,3240297.06
2015039,3240297.06
2015040,3240297.06
2015041,3244016.63
2015042,3244016.63
2015043,3244016.63
2015044,3244016.63
2015045,3244111.74
2015046,3249311.26
2015047,3249311.26
2015048,3249311.26
2015049,3249311.26
2015050,3249311.26
2015051,3249112.07
2015052,3249112.07
2015053,3249112.07
2015054,3249112.07
2015055,3249311.26
2015056,3247491.34
2015057,3247491.34
2015058,3247491.34
2015059,3248057.06
2015060,3248057.06
2015061,3248057.06
2015062,3248057.06
2015063,3236632.6
2015064,3236228.87
2015065,3236228.87
2015066,3236228.87
2015067,3236228.87
2015068,3235606.97
2015069,3229613.5
2015070,3229613.5
2015071,3231996.53
2015072,3232372.85
2015073,3242593.73
2015074,3239949.53
2015075,3239949.53
2015076,3239949.53
2015077,3239949.53
2015078,3239949.53
2015079,3239949.53
2015080,3249311.26
2015081,3249311.26
2015082,3249311.26
2015083,3249311.26
2015084,3247798.9
2015085,3247798.9
2015086,3247898.45
2015087,3247898.45
2015088,3247898.45
2015089,3249184.62
2015090,3248657.13
2015091,3248657.13
2015092,3248746.43
2015093,3248746.43
2015094,3248746.43
2015095,3248746.43
2015096,3248746.43
2015097,3248746.43
2015098,3248746.43
2015099,3248746.43
2015100,3248746.43
2015101,3248757.75
2015102,3248953.61
2015103,3243503.86
2015104,3244226.85
2015105,3222848.5
2015106,3219794.55
2015107,3220727.17
2015109,3220727.17
2015110,3223415.45
2015111,3232420.63
2015112,3233711.26
2015113,3233780.51
2015114,3235553.67
2015115,3234206.33
2015116,3237607.53
2015117,3238325.67
2015118,3244007.24
2015119,3244882.32
2015120,3244882.32
2015121,3241701.73
2015122,3241701.73
2015123,3244262.92
2015124,3244262.92
2015125,3244262.92
2015126,3244414.71
2015127,3248023.22
2015128,3248023.22
2015129,3248023.22
2015130,3237388.64
2015131,3236319.66
2015132,3234837.27
2015133,3235586.6
2015134,3234586.19
2015135,3234586.19
2015136,3238066.29
2015137,3239638.87
2015138,3239779.66
2015139,3239779.66
2015140,3239779.66
2015141,3239779.66
2015142,3239779.66
2015143,3239779.66
2015144,3239779.66
2015145,3239779.66
2015146,3239779.66
2015147,3236134.21
2015148,3225108.72
2015149,3226386.48
2015150,3223835.71
2015151,3219840.31
2015152,3219480.13
2015153,3218105.93
2015154,3212777.13
2015155,3212777.13
2015156,3212777.13
2015157,3209994.95
2015158,3220964.26
2015159,3226118.91
2015160,3222198.05
2015161,3221401.58
2015162,3220416.31
2015163,3220416.31
2015164,3220416.31
2015165,3205287.71
2015166,3199858.48
2015167,3196432.67
2015168,3195757.3
2015169,3195757.3
2015170,3186767.35
2015171,3188291.85
2015172,3192125
2015173,3192125
2015174,3186733.82
2015175,3186733.82
2015176,3195544.94
2015177,3192197.86
2015178,3192197.86
2015179,3191570.79
2015180,3186095.63
2015181,3187628.1
2015182,3190225
2015183,3191060.44
2015184,3187859.99
2015185,3190577.71
2015186,3200314.77
2015187,3202679.78
2015188,3203101.69
2015189,3201757.12
2015190,3191706.07
2015191,3193324.36
2015192,3192290.8
2015193,3191230.53
2015194,3189759.4
2015195,3191964.19
2015196,3193133.33
2015197,3195043.75
2015198,3194537.22
2015199,3192852.75
2015200,3196222.16
2015201,3181805.25
2015202,3176782.19
2015203,3174166.72
2015204,3173266.77
2015205,3172685.13
2015206,3172685.13
2015207,3147852.37
2015208,3147226.35
2015209,3147174.34
2015210,3146017.66
2015211,3130629.03
2015212,3126071.9
2015213,3123849.97
2015214,3123582.78
2015215,3111679.85
2015216,3108902.72
2015217,3104790.3
2015218,3094047.1
2015219,3089895.64
2015220,3092848.19
2015221,3094367.64
2015222,3094367.64
2015223,3088323.49
2015224,3091136.96
2015225,3088095.82
2015226,3077463.5
2015227,3080959.15
2015228,3076767.39
2015229,3075962.55
2015230,3079374.02
2015231,3064454.75
2015232,3061156.33
2015233,3058808.29
2015234,3045933.98
2015235,3039611.67
2015236,3027585.55
2015237,3008237.42
2015238,2990569.15
2015239,2955784.28
2015240,2940124.2
2015241,2934882.7
2015242,2937571.83
2015243,2936518.47
2015244,2925218.72
2015245,2935713.57
2015246,2938529.29
2015247,2939442.58
2015248,2953553.46
2015249,2951306.48
2015250,2945759.31
2015251,2955159.41
2015252,2956331.13
2015253,2948288.57
2015254,2943839.07
2015255,2965656.45
2015256,2974133.25
2015257,2973148.23
2015258,2971468.79
2015259,2951037.32
2015260,2932507.05
2015261,2939486.11
2015262,2942080.19
2015263,2941135.99
2015264,2976879.04
2015265,3015435.46
2015266,3101944.1
2015267,3109373.01
2015268,3119062.74
2015269,3116319.62
2015270,3119452.53
2015271,3122892.49
2015272,3148344.74
2015273,3146582.32
2015274,3133619.45
2015275,3137644.7
2015276,3140698.3
2015277,3149268.43
2015278,3157486.4
2015279,3159295.08
2015280,3160540.54
2015281,3153685.18
2015282,3163105.55
2015283,3156329.67
2015284,3156641.12
2015285,3156670.6
2015286,3142678.5
2015287,3136144.08
2015288,3137327.93
2015289,3121814.37
2015290,3108769.79
2015291,3062381.49
2015292,3070391.14
2015293,3086489.26
2015294,3120767.12
2015295,3136577.03
2015296,3132625.93
2015297,3136766.84
2015298,3136766.84
2015299,3137774.99
2015300,3146024.96
2015301,3153222.19
2015302,3153687.6
2015303,3154639.2
2015304,3184721.06
2015305,3165622.72
2015306,3173021.37
2015307,3173021.37
2015308,3172055.53
2015309,3174595.43
2015310,3181003.65
2015311,3207606.92
2015312,3207606.92
2015313,3196805.47
2015314,3197286.18
2015315,3185801.68
2015316,3185801.68
2015317,3183371
2015318,3174042.84
2015319,3174088.28
2015320,3174876.77
2015321,3174876.77
2015322,3193573.04
2015323,3176011.5
2015324,3176011.5
2015325,3199183.37
2015326,3196253.23
2015327,3196253.23
2015328,3196253.23
2015329,3199058.19
2015330,3201145.26
2015331,3203577.13
2015332,3203577.13
2015333,3203595.28
2015334,3203595.28
2015335,3213742.85
2015336,3213742.85
2015337,3212765.04
2015338,3177112.74
2015339,3189010.66
2015340,3189010.66
2015341,3189010.66
2015342,3167186.47
2015343,3169867.03
2015344,3169867.03
2015345,3198832.11
2015346,3199705.61
2015347,3207972.42
2015348,3207972.42
2015349,3207547.61
2015350,3207547.61
2015351,3206866.73
2015352,3207038.04
2015353,3207383.55
2015354,3207383.55
2015355,3207383.55
2015356,3207383.55
2015357,3207383.55
2015358,3208700
2015359,3208700
