y_true,y_pre
0.21986437,0.24206519
0.20608182,0.24206519
0.21198863,0.22952797
0.21789543,0.23584056
0.21767665,0.24206519
0.21461387,0.24206519
0.22292715,0.23937355
0.23517829,0.24956575
0.23583461,0.26201895
0.22598994,0.26530847
0.23670968,0.251619
0.26646248,0.26530847
0.26974404,0.2878727
0.2714942,0.29301807
0.26996282,0.29301807
0.2894334,0.29301807
0.31152922,0.30854163
0.33143732,0.33035326
0.33362502,0.35028207
0.33471888,0.35028207
0.34675127,0.35495824
0.36447167,0.36433297
0.38109824,0.37998074
0.38569242,0.39549795
0.4042879,0.39549795
0.43294683,0.41432014
0.4532925,0.4438549
0.45307374,0.4578547
0.450886,0.4578547
0.4664187,0.4578547
0.48523298,0.47623083
0.5178298,0.49536327
0.5217677,0.5261179
0.5287683,0.5321273
0.54036313,0.5310904
0.54561365,0.5443253
0.56289655,0.55200934
0.59243053,0.56618047
0.59680593,0.5909653
0.5978998,0.5961183
0.60643184,0.5998657
0.6121199,0.6026745
0.6178079,0.6026745
0.6385911,0.61324334
0.65412384,0.628404
0.66659373,0.64485675
0.6563115,0.65546596
0.68650186,0.64709383
0.69087726,0.67598176
0.69262743,0.6788299
0.6904397,0.67798805
0.70159703,0.67798805
0.71756727,0.68647146
0.7217239,0.70078444
0.72369283,0.7023727
0.7160359,0.7039843
0.71625465,0.6968992
0.72063005,0.6968992
0.7180048,0.70133185
0.73266244,0.6968992
0.7440385,0.7109764
0.7337563,0.7238562
0.7234741,0.7153903
0.7201925,0.7039843
0.7147232,0.70133185
0.7138482,0.6968992
0.7210676,0.6968992
0.7223802,0.70133185
0.71100414,0.7039843
0.69722164,0.68966854
0.7024721,0.68052906
0.68387663,0.68173194
0.68212646,0.66474473
0.68190765,0.66154176
0.68081385,0.66154176
0.6462481,0.66154176
0.6506235,0.6306499
0.6479983,0.63525563
0.6285277,0.6306499
0.618683,0.6120643
0.6121199,0.6027093
0.6094946,0.59214044
0.5954933,0.59214044
0.5777729,0.5837616
0.5611464,0.57109976
0.55764604,0.5545324
0.55152047,0.54581136
0.5346751,0.5433872
0.5257055,0.5303577
0.5156421,0.5203237
0.5044848,0.5127426
0.48435792,0.49918178
0.47123167,0.48282984
0.45832422,0.4674683
0.44935462,0.45223868
0.43491578,0.44483507
0.43513453,0.4334621
0.41741413,0.43470833
0.40078756,0.4176342
0.40013126,0.39959425
0.3922555,0.3966316
0.3723474,0.3966316
0.35484576,0.3766446
0.3530956,0.36185887
0.34106323,0.36185887
0.33712536,0.3515849
0.32509297,0.3470362
0.30671626,0.33613703
0.30168453,0.319777
0.287902,0.31672364
0.28768322,0.30142087
0.28046378,0.30142087
0.27849486,0.28995293
0.26493108,0.29061738
0.26011813,0.27863726
0.24874207,0.27671146
0.24327281,0.2689197
0.24152264,0.2609315
0.22861518,0.2624989
0.21702035,0.24957877
0.21111354,0.24070281
0.20761321,0.23447818
0.2113323,0.22816558
0.21330124,0.23447818
0.20936337,0.23937355
0.19601838,0.2332988
0.19667469,0.22343016
0.19886239,0.22343016
0.20017502,0.22343016
0.20564428,0.22499655
0.20651937,0.22952797
0.20214395,0.22952797
