y_true,y_pre
0.21986437,0.21592098
0.20608182,0.21725719
0.21198863,0.20533635
0.21789543,0.21023597
0.21767665,0.21866164
0.21461387,0.22132298
0.22292715,0.21769561
0.23517829,0.22994556
0.23583461,0.24529594
0.22598994,0.2486751
0.23670968,0.23069753
0.26646248,0.24951705
0.26974404,0.27956533
0.2714942,0.28247094
0.26996282,0.28252468
0.2894334,0.2828478
0.31152922,0.30288172
0.33143732,0.32515368
0.33362502,0.34544906
0.33471888,0.34719458
0.34675127,0.3504395
0.36447167,0.3583029
0.38109824,0.38018253
0.38569242,0.3966963
0.4042879,0.4002208
0.43294683,0.4192687
0.4532925,0.44687366
0.45307374,0.46556452
0.450886,0.4640665
0.4664187,0.4640665
0.48523298,0.48320332
0.5178298,0.5023566
0.5217677,0.5312195
0.5287683,0.539902
0.54036313,0.54143333
0.54561365,0.55595464
0.56289655,0.56126124
0.59243053,0.57773566
0.59680593,0.6036473
0.5978998,0.6078571
0.60643184,0.6124582
0.6121199,0.6199687
0.6178079,0.62232184
0.6385911,0.6293696
0.65412384,0.6477737
0.66659373,0.6622231
0.6563115,0.67403805
0.68650186,0.6652011
0.69087726,0.69352174
0.69262743,0.69795215
0.6904397,0.70027965
0.70159703,0.69819874
0.71756727,0.70824486
0.7217239,0.72189903
0.72369283,0.7250708
0.7160359,0.7276403
0.71625465,0.7199448
0.72063005,0.7187325
0.7180048,0.7223657
0.73266244,0.7178459
0.7440385,0.7326798
0.7337563,0.7461714
0.7234741,0.73501754
0.7201925,0.721017
0.7147232,0.714605
0.7138482,0.71247554
0.7210676,0.71247554
0.7223802,0.7171197
0.71100414,0.72185194
0.69722164,0.7025429
0.7024721,0.6900879
0.68387663,0.69275117
0.68212646,0.67201203
0.68190765,0.67121154
0.68081385,0.6717589
0.6462481,0.6715824
0.6506235,0.63427156
0.6479983,0.6351123
0.6285277,0.63412124
0.618683,0.61531305
0.6121199,0.6042672
0.6094946,0.5960945
0.5954933,0.5938186
0.5777729,0.5815686
0.5611464,0.5664325
0.55764604,0.54937375
0.55152047,0.54086655
0.5346751,0.537228
0.5257055,0.52008325
0.5156421,0.51182806
0.5044848,0.5028975
0.48435792,0.49084413
0.47123167,0.47446844
0.45832422,0.45578086
0.44935462,0.44424134
0.43491578,0.43553722
0.43513453,0.42346713
0.41741413,0.4235556
0.40078756,0.40743273
0.40013126,0.39009804
0.3922555,0.38497865
0.3723474,0.38422516
0.35484576,0.36280295
0.3530956,0.34569684
0.34106323,0.34249857
0.33712536,0.33266652
0.32509297,0.32863095
0.30671626,0.31614423
0.30168453,0.29953554
0.287902,0.2939076
0.28768322,0.28019226
0.28046378,0.27994466
0.27849486,0.27000883
0.26493108,0.27000883
0.26011813,0.25782335
0.24874207,0.25359607
0.24327281,0.24488315
0.24152264,0.23883188
0.22861518,0.23739767
0.21702035,0.22469638
0.21111354,0.21435422
0.20761321,0.2092517
0.2113323,0.20178464
0.21330124,0.2091376
0.20936337,0.21270654
0.19601838,0.20989107
0.19667469,0.19574615
0.19886239,0.19621891
0.20017502,0.20027626
0.20564428,0.20232907
0.20651937,0.20863499
0.20214395,0.20863499
0.20651937,0.2044419
0.21264493,0.20863499
0.2181142,0.21610203
0.2203019,0.22532521
0.23627216,0.2285599
0.24611682,0.2500618
0.24589805,0.25475946
0.25508642,0.25421467
0.2603369,0.2687547
0.28177643,0.27016768
0.29555896,0.2967987
0.30890396,0.31182736
0.31065413,0.3259143
0.31656092,0.3259938
0.3351564,0.3323271
0.36447167,0.34921047
0.3789105,0.38178864
0.37716037,0.39448795
0.38831764,0.39497894
0.4014439,0.40280738
0.4331656,0.4154045
0.43950996,0.44663447
0.46029314,0.4524323
0.47757602,0.47318596
0.49092102,0.49366468
0.4948589,0.5057424
0.5051411,0.5110018
0.52789325,0.5193982
0.5534894,0.54141015
0.5683658,0.56996495
0.5690221,0.5825543
0.5865237,0.58250844
0.6132137,0.6003202
0.6226209,0.6250773
0.6221833,0.63216245
0.634872,0.63216245
0.6484358,0.64615864
0.6609057,0.65978616
0.672063,0.66936636
0.6867206,0.6808065
0.6974404,0.6954286
0.6994093,0.70758975
0.7077226,0.7071157
0.7158171,0.7142004
0.73200613,0.7224407
0.7374754,0.7370497
0.7394443,0.74551094
0.7481952,0.7444764
0.76941586,0.7535561
0.7691971,0.7713312
0.7632903,0.7734657
0.76372784,0.7681155
0.76744694,0.76777226
0.771166,0.7708022
0.7685408,0.7724216
0.771166,0.76927084
0.77204114,0.77192146
0.77138484,0.771092
0.77466637,0.767771
0.76307154,0.76792985
0.7475388,0.76130134
0.7534456,0.7459991
0.76132137,0.7449397
0.76132137,0.7551894
0.7411945,0.75804377
0.7366003,0.7365007
0.73463136,0.7255348
0.7083789,0.7255348
0.7077226,0.6950319
0.7195362,0.69658154
0.7053161,0.71184653
0.6810326,0.69340855
0.674907,0.66651356
0.66659373,0.6602642
0.65478015,0.65175945
0.627215,0.6424692
0.6132137,0.61232877
0.61299497,0.59839976
0.5992124,0.59824616
0.5878364,0.5868889
0.57361627,0.57306916
0.55764604,0.56233704
0.5410195,0.54048556
0.5394881,0.5262454
0.52658063,0.5256482
0.5127981,0.5114149
0.4896084,0.5009543
0.47429445,0.47758785
0.47363815,0.46230146
0.45263618,0.46243805
0.43600962,0.435483
0.42244586,0.42346713
0.41369504,0.40845454
0.4095384,0.40131027
0.39269307,0.3963391
0.367972,0.38459107
0.35397068,0.3601481
0.35375193,0.34504783
0.34740758,0.3448375
0.32881206,0.33400562
0.3233428,0.31929234
0.30015314,0.31470507
0.28833953,0.29522496
0.27915117,0.28097042
0.26952526,0.26936245
0.25618026,0.2657486
0.25574273,0.25227913
0.24305403,0.24997786
0.24130388,0.2369108
0.22752133,0.2354766
0.20958215,0.22079417
0.20936337,0.2066701
0.20980091,0.20579289
0.20542552,0.20651639
0.18879895,0.20167054
